date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:37:41	14634/14634	---MCZ	200	added ('OK')	text/html	etag:W/%2260820393-392a%22	https://www.vasterad.com/themes/incredible/index.html	C:/My%20Web%20Sites/Incredible/www.vasterad.com/themes/incredible/index.html	(from )
11:37:42	50/50	---MCZ	200	added ('OK')	text/plain	date:Fri,%2025%20Mar%202022%2010:37:42%20GMT	https://www.vasterad.com/robots.txt		(from )
11:37:42	55622/55622	---MCZ	200	added ('OK')	text/css	etag:W/%2256d30b33-d946%22	https://www.vasterad.com/themes/incredible/css/style.css	C:/My%20Web%20Sites/Incredible/www.vasterad.com/themes/incredible/css/style.css	(from https://www.vasterad.com/themes/incredible/index.html)
11:37:43	96381/96381	---M-Z	200	added ('OK')	application/javascript	etag:W/%22620cd6ff-1787d%22	https://code.jquery.com/jquery-1.11.0.min.js	C:/My%20Web%20Sites/Incredible/code.jquery.com/jquery-1.11.0.min.js	(from https://www.vasterad.com/themes/incredible/index.html)
11:37:44	7199/7199	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1c1f%22	https://code.jquery.com/jquery-migrate-1.2.1.min.js	C:/My%20Web%20Sites/Incredible/code.jquery.com/jquery-migrate-1.2.1.min.js	(from https://www.vasterad.com/themes/incredible/index.html)
11:37:46	54258/54258	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256d30b4d-d3f2%22	https://www.vasterad.com/themes/incredible/js/flexslider.js	C:/My%20Web%20Sites/Incredible/www.vasterad.com/themes/incredible/js/flexslider.js	(from https://www.vasterad.com/themes/incredible/index.html)
11:37:47	15876/15876	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256d30b4f-3e04%22	https://www.vasterad.com/themes/incredible/js/jquery.isotope.min.js	C:/My%20Web%20Sites/Incredible/www.vasterad.com/themes/incredible/js/jquery.isotope.min.js	(from https://www.vasterad.com/themes/incredible/index.html)
11:37:47	10335/10335	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256d30b4b-285f%22	https://www.vasterad.com/themes/incredible/js/custom.js	C:/My%20Web%20Sites/Incredible/www.vasterad.com/themes/incredible/js/custom.js	(from https://www.vasterad.com/themes/incredible/index.html)
11:37:47	6524/6524	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256d30b4c-197c%22	https://www.vasterad.com/themes/incredible/js/ender.min.js	C:/My%20Web%20Sites/Incredible/www.vasterad.com/themes/incredible/js/ender.min.js	(from https://www.vasterad.com/themes/incredible/index.html)
11:37:48	3272/3272	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256d30b50-cc8%22	https://www.vasterad.com/themes/incredible/js/selectnav.js	C:/My%20Web%20Sites/Incredible/www.vasterad.com/themes/incredible/js/selectnav.js	(from https://www.vasterad.com/themes/incredible/index.html)
11:37:48	23782/23782	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256d30b4e-5ce6%22	https://www.vasterad.com/themes/incredible/js/imagebox.min.js	C:/My%20Web%20Sites/Incredible/www.vasterad.com/themes/incredible/js/imagebox.min.js	(from https://www.vasterad.com/themes/incredible/index.html)
